AKU89597.1,AAU05358.1,AAS99314.1,AAS99260.1,AAS99279.1,AAS99258.1,AKU89601.1,ACB55311.1,AAS99310.1,AGA15924.1,AAS99301.1,AAS99288.1,AAZ79676.1,AAS99307.1,YP_077183.1,ACB55317.1,AAS99300.1,ACB55304.1,AAO88194.1,AAO88183.1,AAS99298.1,AHK22793.1,AAS99243.1,AAO88200.1,YP_077178.1,AKU89600.1,AAO88201.1,AAU05372.1,AAS99308.1,AAS99241.1,AAS99287.1,AAS99262.1,AAU05360.1,ACB55301.1,AAS99249.1,AAS99289.1,AAS99251.1,AKU89602.1,AAS99275.1,AAS99268.1,AAO88188.1,AAS99296.1,ACB55310.1,AAS99257.1,YP_680426.1,ACB55305.1,AAO88203.1,ACB55312.1,AAB95452.1,AAS99313.1,AAO88184.1,AAU05368.1,AAO88187.1,AAS99286.1,AAT48615.1,AAT48613.1,AAS99259.1,AAS99283.1,AAS99245.1,AAS99311.1,AAS99264.1,NP_043941.1,AAS99248.1,AAO88198.1,AAS99290.1,AAO88189.1,AAS99261.1,AAR07955.1,AAO88205.1,AAS99276.1,AAS99297.1,AAS99239.1,AAS99253.1,AKU89596.1,AAS99277.1,AAS99247.1,AKU89598.1,AAS99305.1,AAO88202.1,AAS99242.1,AAS99255.1,AAO88199.1,AAU05362.1,AAS99238.1,ACB55315.1,AAS99280.1,AAO88191.1,AAS99294.1,AOL02447.1,AAS99269.1,AAO88197.1,AKU89603.1,ABA71699.1,AAO88208.1,ACB55313.1,pdb|4IOV|A,AAS99285.1,AAO88185.1,AAU05370.1,AAO88206.1,AAT46339.1,AGA15925.1,AAS99306.1,ACB55306.1,ACB55309.1,AAS99278.1,AAS99274.1,AKU89599.1,AAS99271.1,YP_077180.1,AAT46337.1,AAO88186.1,AAU05364.1,AAS99284.1,AAS99282.1,AAS99265.1,3J1Q_A,AGA15926.1,AAO88193.1,AAO88190.1,NP_049542.1,AAS99312.1,AAS99309.1,AAO88196.1,AAS99254.1,ABA71701.1,AAS99250.1,ACB55307.1,AAS99246.1,AAS99293.1,ACB55308.1,AAO88207.1,AAS99270.1,AKU89595.1,AAS99302.1,AAS99240.1,ACB55302.1,NP_044927.1,AAS99263.1,ABI16639.1,AAS99252.1,AAS99291.1,ACB55303.1,AAS99266.1,AGA15927.1,YP_068409.1,AAS99281.1,AAO88209.1,AAS99304.1,AAS99273.1,ACB55314.1,AAO88204.1,AAB95450.1,AAS99303.1,AAS99256.1,AAO88192.1,AAS99292.1,AAS99267.1,AAZ79672.1,APD78414.1,AAU05371.1,AAO88195.1,ABZ10812.1,AAS99299.1,AAS99295.1,ACB55316.1,AAS99244.1
2330,1722,1409,1636,1606,2800,2911,2286,1527,1394,1452,2301,392,1562,308,2079,1685,1922,2472,2071,1655,316,2271,2229,0,2294,2365,1722,1635,2020,1599,1685,1698,2130,2209,2341,2208,2157,1722,1491,705,1935,2071,2184,1746,2281,2260,2735,1686,1692,2678,1722,601,2055,308,224,2267,1689,2268,2217,1700,1677,2175,2288,2300,705,1643,375,2148,1612,1570,2181,2764,2412,1578,2090,2355,1651,2271,2205,2280,2448,1746,2211,2840,1419,2070,1644,649,1661,1963,2064,2074,2334,2353,746,2362,2682,1690,3288,746,1432,2089,2448,1893,1661,1522,2385,1357,2264,2362,2719,1746,1689,1680,1489,1904,336,2256,2354,2071,2195,1746,2139,2232,2100,2262,1746,2764,1693,1893,1881,1691,2268,1566,2226,2139,648,1746,558,2848,1835,2139,1654,1620,350,1680,2314,1694,1630,2335,2259,2130,1682,2304,2561,1857,2118,490,2130,1715,2241,1717,1518,1746,2300,2361
3107,1978,1659,2059,1941,2255,2454,2624,1810,1570,1850,2602,392,1985,338,2889,2083,2215,2110,2876,1976,345,2510,2506,2294,0,2638,1978,2059,2766,2010,1964,1954,2284,2569,2616,2585,2590,1978,1911,709,2022,2155,2474,2081,1917,1896,2229,2063,2115,2174,1976,605,2367,338,244,2624,2024,2595,2460,2074,2054,2519,2554,2564,709,1947,400,1744,2006,1901,2537,2243,2746,1789,2447,2989,1985,2036,2498,2639,2044,2002,2577,2268,1841,2150,1703,618,1915,2168,2390,2184,2523,2617,750,2626,2213,2114,2196,750,1632,2380,2044,1976,1989,1778,2819,1613,2584,2626,2213,2081,2024,2052,1836,2249,345,2594,2629,2155,2455,2081,2072,2587,2162,2643,2081,2195,1942,1976,2174,2114,2700,1989,2542,2293,643,2081,553,2200,1865,2293,2077,1848,359,2028,2589,1872,1886,2675,1883,2284,1941,2186,2157,1940,2364,510,2284,1971,2515,2185,1839,2071,2660,2625
2769,1877,1593,1856,1840,2279,2471,3090,1709,1499,1641,3024,391,1792,303,2299,1875,2023,2280,2299,1879,310,2971,3187,2365,2638,0,1877,1846,2288,1807,1875,1853,2157,2756,3047,2752,2432,1877,1718,705,1965,2098,2731,1980,2021,2000,2316,1793,1922,2207,1868,601,2534,303,220,2811,1923,2628,2908,1946,1784,2706,3294,3025,705,1873,405,1888,1813,1800,2722,2271,2705,1697,2627,2858,1884,2180,3222,2826,2188,1901,2720,2292,1637,2478,1645,651,1814,2812,2232,2127,3309,3078,746,3087,2300,1910,2267,746,1499,3104,2188,1920,1895,1677,3062,1512,2625,3087,2300,1980,1923,1924,1664,2298,333,3060,3309,2098,2920,1980,2728,2774,2105,2781,1980,2219,1862,1920,1982,1911,2486,1796,2708,2166,646,1980,556,2166,1934,2166,1884,1675,347,1924,3370,1792,1785,2848,2027,2157,1861,2410,2317,1884,3073,495,2157,1870,3258,1947,1738,1970,2847,3042
1994,3452,2412,2554,3090,1946,1866,1866,2939,2025,2384,2020,392,2565,343,2040,2626,2452,1711,2040,3106,359,1872,1940,1722,1978,1877,0,2606,2025,2551,2787,3367,2125,1967,2040,1949,2491,3438,2444,529,1760,1952,1839,3223,1619,1618,1803,2487,2684,1748,3437,426,1759,343,256,1989,3156,1941,1896,1616,2473,1886,1807,1982,528,2490,347,1490,2467,2970,2040,1954,2052,3071,2017,1943,3083,1722,1739,2008,1744,3375,2152,1959,2312,1630,1868,639,3358,1704,2607,1990,1856,2042,569,2042,1791,2699,1662,569,2018,1638,1744,2136,3070,3247,1954,3003,1941,2042,1787,3152,3156,1674,2392,2458,389,1836,1870,1952,1875,3166,1749,2004,1968,2053,3230,1886,2952,2093,2402,2615,2160,2562,2141,2125,630,3278,673,1850,1797,2125,2624,1840,394,1674,1837,3086,3300,2050,1588,2125,3067,1834,1678,2060,1736,556,2125,3318,1940,2523,2956,3138,2025,2042
2082,2606,2641,3218,2626,1724,1756,1835,2453,1825,2820,1815,392,3146,368,2159,3078,2171,1682,2159,2656,384,1746,1909,1635,2059,1846,2606,0,2144,3137,2989,2598,1945,1751,1835,1733,2305,2592,2852,550,1653,1846,1664,2766,1536,1535,1765,2640,3224,1745,2605,447,1543,368,281,1773,2699,1781,1691,1726,2659,1676,1776,1834,549,2790,339,1407,3062,2500,1871,1731,2019,2348,1801,2031,2643,1639,1708,1810,1661,2676,1909,1737,2788,1642,1762,621,2659,1675,2359,1845,1745,1837,590,1837,1753,3025,1575,590,1819,1614,1661,2030,2636,2404,1923,2233,1781,1837,1739,2734,2699,1784,2876,2139,389,1835,1839,1846,1670,2711,1617,1788,1823,1837,2766,1664,2513,1985,2121,3171,2154,2996,1898,1954,654,2720,576,1649,1688,1954,3107,1665,400,1784,1806,2564,2493,1834,1505,1945,2620,1646,1587,1949,1705,466,1945,2576,1909,2739,2571,2688,1809,1837
2702,2025,1744,2144,1992,2032,2192,2277,1862,1774,1950,2254,392,2070,320,3213,2200,1926,1891,3200,2033,327,2185,2204,2020,2766,2288,2025,2144,0,2095,2081,2001,1981,2242,2263,2256,2149,2025,1996,657,1719,1852,2145,2128,1697,1676,1986,2077,2200,1880,2023,553,2037,320,226,2295,2071,2319,2120,1775,2068,2195,2203,2214,657,1875,352,1525,2128,1964,2230,2020,2398,1836,2289,2594,2049,1825,2149,2311,1825,2049,2270,2045,1926,1902,1488,645,1962,1859,1979,1881,2196,2290,698,2276,1974,2198,1960,698,1801,2031,1825,1725,2043,1825,2451,1660,2392,2276,1970,2128,2071,1741,1921,1958,384,2247,2278,1852,2105,2128,1794,2373,1881,2352,2128,1972,1898,1725,1885,2199,2350,2060,2236,1990,617,2128,575,1977,1683,1990,2162,1659,359,1717,2260,1919,1933,2389,1672,1981,1988,1893,1896,1689,2015,503,1981,2018,2206,2172,1904,2128,2331,2275
2053,2544,2624,3211,2562,1688,1739,1796,2458,1766,2800,1778,418,3136,332,2110,3054,2114,1609,2110,2599,348,1709,1870,1599,2010,1807,2551,3137,2095,0,2972,2492,1933,1700,1798,1682,2286,2530,2904,514,1637,1830,1703,2709,1519,1518,1745,2588,3200,1712,2537,411,1492,332,245,1722,2642,1754,1654,1643,2607,1625,1806,1741,513,2773,306,1390,3045,2443,1832,1695,1990,2323,1750,2002,2586,1622,1669,1759,1644,2614,1882,1701,2886,1610,1746,568,2468,1669,2321,1833,1718,1800,554,1800,1733,3001,1539,554,1721,1575,1644,2014,2572,2342,1884,2095,1754,1800,1719,2670,2642,1701,2897,2098,373,1796,1800,1830,1633,2647,1650,1737,1811,1786,2702,1688,2456,1969,2064,3240,2157,2972,1871,1942,618,2656,616,1613,1672,1942,3090,1609,384,1701,1767,2509,2431,1800,1488,1933,2563,1643,1568,1933,1666,502,1933,2514,1870,2715,2480,2631,1758,1799
1992,2780,2947,2977,2800,1914,1825,1864,2627,2037,2902,1844,392,2985,368,2096,3161,2388,1692,2096,2837,384,1775,1938,1685,1964,1875,2787,2989,2081,2972,0,2728,2195,1766,1864,1748,2484,2766,2810,550,1864,2057,1679,2947,1602,1601,1804,2572,3175,1771,2773,447,1558,368,281,1788,2881,1830,1720,1696,2569,1691,1805,1807,549,2958,339,1473,2890,2681,2040,1921,2048,2522,1816,1941,2824,1705,1737,1825,1727,2850,2079,1927,2623,1708,1972,616,2704,1704,2538,2060,1774,1866,590,1866,1792,2990,1625,590,1984,1643,1727,2240,2810,2578,1952,2331,1830,1866,1778,2897,2881,1753,2834,2167,389,1864,1868,2057,1699,2885,1646,1803,2038,1852,2940,1854,2695,2195,2338,3028,2084,3032,2067,2204,654,2894,652,1818,1893,2204,3065,1881,400,1753,1835,2745,2646,1849,1571,2195,2801,1661,1651,2142,1734,538,2195,2750,1938,2747,2718,2870,1824,1865
1970,3397,2353,2539,3041,1922,1842,1842,2918,1962,2356,1996,392,2506,343,2016,2584,2380,1711,2016,3033,359,1848,1916,1698,1954,1853,3367,2598,2001,2492,2728,0,2062,1943,2016,1925,2428,3383,2385,523,1697,1889,1815,3163,1595,1594,1779,2435,2642,1724,3344,420,1735,343,256,1965,3096,1917,1872,1595,2421,1862,1783,1982,522,2431,347,1466,2425,2904,2016,1930,2028,3016,1993,1919,3027,1698,1715,1984,1720,3320,2128,1935,2253,1606,1805,639,3346,1680,2555,1927,1832,2018,563,2018,1767,2657,1638,563,2018,1614,1720,2073,3021,3192,1930,2998,1917,2018,1763,3141,3096,1653,2333,2398,389,1812,1846,1889,1851,3155,1725,1980,1905,2029,3181,1862,2892,2030,2333,2556,2097,2520,2117,2062,611,3229,613,1826,1734,2062,2565,1777,394,1653,1813,3051,3245,2026,1564,2062,3039,1810,1654,1997,1712,493,2062,3263,1916,2460,2886,3065,2001,2018
2259,2125,1851,1962,2079,2343,2284,2145,1954,1911,1783,2121,366,1905,346,2097,2055,2321,1913,2097,2124,353,2054,2025,2130,2284,2157,2125,1945,1981,1933,2195,2062,0,2008,2143,2032,2702,2125,1842,697,2988,3194,1913,2219,1857,1836,2267,1998,2038,2212,2113,594,1886,346,250,2092,2162,2084,1999,1821,1989,2001,2073,2085,698,2008,367,1727,1929,2005,2317,2352,2309,1987,1889,2231,2140,1968,2017,2105,1984,2140,2275,2383,1710,1839,2748,630,2044,1857,2496,3294,2042,2136,739,2145,2251,2038,2058,739,1880,1901,1984,3042,2091,1923,2224,1742,2073,2145,2258,2219,2162,1799,1842,2002,360,2115,2155,3221,1974,2219,1889,2031,3334,2089,2219,2309,2166,2997,2271,2037,2328,1911,2261,3460,661,2219,592,2280,2908,3477,2000,2165,374,1799,2108,2088,2012,2157,1827,3477,2155,1928,2098,2941,1923,558,3474,2118,2034,2096,1989,2165,2099,2145
2686,1967,1477,1747,1756,2194,2369,2717,1661,1427,1532,2862,368,1683,320,2250,1766,1998,2128,2247,1791,327,2702,2601,2209,2569,2756,1967,1751,2242,1700,1766,1943,2008,0,2844,3205,2287,1967,1609,664,1747,1879,2999,1896,1911,1890,2139,1799,1813,2030,1947,560,2889,320,237,3290,1839,2648,2702,1871,1789,3158,2671,2822,664,1782,367,1739,1704,1717,2490,2192,2524,1788,3078,2803,1809,2031,2676,3284,2039,1991,2562,2207,1530,2159,1503,597,1904,2306,2192,1908,2715,2875,705,2884,2123,1801,2111,705,1476,2558,2039,1732,1811,1767,3006,1609,2644,2884,2123,1896,1839,1851,1567,2366,312,2687,2698,1879,2713,1896,2212,3247,1886,3216,1896,2134,1778,1732,1957,1802,2418,1687,2551,2017,643,1896,552,2114,1730,2017,1782,1638,326,1827,2722,1787,1875,3301,1878,2008,1777,2640,2139,1696,2542,456,2008,1872,2660,1835,1654,1886,3322,2870
2747,2040,1582,1845,1829,2339,2594,3185,1735,1482,1630,3281,391,1781,336,2277,1864,2086,2293,2277,1864,343,3221,2892,2341,2616,3047,2040,1835,2263,1798,1864,2016,2143,2844,0,2840,2418,2040,1707,706,1882,2014,2749,1969,2008,1987,2311,1867,1911,2202,2031,602,2648,336,255,2899,1912,2722,3240,1861,1857,2794,3000,3341,706,1862,398,1907,1802,1789,2678,2328,2752,1860,2717,2807,1874,2196,2924,2918,2204,2064,2750,2353,1626,2285,1561,673,1977,2517,2296,2043,3006,3394,747,3403,2295,1899,2243,747,1482,2806,2204,1836,1884,1840,3037,1675,2716,3381,2295,1969,1912,1839,1653,2396,331,3155,3015,2014,3232,1969,2531,2862,2021,2909,1969,2280,1851,1836,2045,1900,2546,1785,2757,2152,650,1969,560,2227,1851,2152,1873,1658,342,1839,2996,1860,1948,2936,2044,2143,1850,2513,2333,1803,2738,495,2143,1938,2960,1937,1727,1959,2935,3298
2682,1949,1479,1729,1738,2193,2368,2712,1643,1367,1569,2858,387,1665,303,2264,1748,1986,2128,2261,1845,310,2698,2569,2208,2585,2752,1949,1733,2256,1682,1748,1925,2032,3205,2840,0,2302,1949,1649,691,1782,1914,2995,1878,1911,1890,2156,1784,1795,2047,1929,598,2885,303,220,3260,1835,2664,2781,1847,1774,3154,2667,2818,702,1746,367,1875,1686,1698,2486,2191,2520,1831,3068,2799,1783,2031,2611,3275,2039,1973,2578,2206,1572,2122,1532,632,1886,2274,2179,1943,2711,2871,732,2880,2140,1783,2110,732,1416,2493,2039,1736,1793,1749,3002,1611,2660,2880,2156,1878,1835,1827,1537,2350,315,2682,2701,1914,2781,1878,2180,3223,1921,3212,1878,2133,1760,1736,1945,1784,2433,1669,2547,2041,633,1878,548,2113,1773,2041,1757,1578,318,1803,2698,1769,1857,3297,1878,2032,1759,2636,2167,1700,2477,495,2032,1847,2628,1820,1636,1868,3296,2866
2632,2491,2111,2314,2449,2371,2350,2428,2318,1859,2087,2396,394,2271,343,2272,2344,2552,1987,2272,2484,350,2304,2300,2157,2590,2432,2491,2305,2149,2286,2484,2428,2702,2287,2418,2302,0,2491,2181,706,2344,2538,2192,2589,1910,1889,2281,2461,2391,2226,2479,602,2113,343,247,2342,2532,2316,2262,1922,2452,2240,2348,2360,706,2344,366,1780,2225,2378,2548,2355,2856,2260,2168,2531,2493,2011,2292,2358,2037,2515,2580,2386,2045,1981,2082,614,2410,2079,3128,2566,2317,2411,747,2420,2265,2368,2059,747,1853,2176,2037,2359,2461,2289,2506,2091,2305,2420,2265,2599,2532,1900,2111,2275,349,2398,2423,2538,2249,2589,2023,2310,2545,2368,2589,2312,2428,2314,2502,2390,2919,2265,2568,2694,669,2589,591,2283,2248,2711,2353,2113,363,1900,2383,2387,2378,2379,1880,2685,2454,2146,2147,2278,2285,550,2682,2484,2309,2432,2349,2517,2378,2419
1994,3468,2391,2533,3068,1946,1866,1866,2945,2025,2380,2020,392,2544,343,2040,2636,2452,1711,2040,3073,359,1872,1940,1722,1978,1877,3438,2592,2025,2530,2766,3383,2125,1967,2040,1949,2491,0,2423,529,1760,1952,1839,3190,1619,1618,1803,2487,2680,1748,3415,426,1759,343,256,1989,3123,1941,1896,1616,2473,1886,1807,1982,528,2469,347,1490,2463,2931,2040,1954,2052,3087,2017,1943,3054,1722,1739,2008,1744,3391,2152,1959,2291,1630,1868,639,3373,1704,2607,1990,1856,2042,569,2042,1791,2709,1662,569,2018,1638,1744,2136,3048,3263,1954,3018,1941,2042,1787,3168,3123,1674,2371,2439,389,1836,1870,1952,1875,3182,1749,2004,1968,2053,3208,1886,2919,2093,2402,2594,2160,2558,2141,2125,630,3256,673,1850,1797,2125,2603,1840,394,1674,1837,3078,3316,2050,1588,2125,3071,1834,1678,2060,1736,556,2125,3334,1940,2509,2923,3105,2025,2042
1954,2437,2482,2840,2409,1592,1631,1707,2408,1715,2702,1687,406,2908,347,2011,2920,2053,1502,2011,2446,363,1635,1781,1491,1911,1718,2444,2852,1996,2904,2810,2385,1842,1609,1707,1649,2181,2423,0,515,1546,1739,1579,2556,1412,1411,1638,2511,3066,1617,2430,444,1401,347,260,1631,2534,1653,1606,1560,2530,1598,1798,1650,546,2665,312,1285,2796,2291,1743,1587,1885,2191,1659,1903,2446,1521,1580,1668,1537,2459,1790,1593,2616,1607,1614,618,2361,1547,2244,1742,1626,1709,555,1709,1626,2978,1431,555,1669,1486,1537,1880,2419,2235,1795,2015,1653,1709,1628,2607,2534,1618,2795,1995,389,1707,1718,1739,1542,2512,1558,1646,1720,1695,2549,1592,2303,1835,2003,2869,2049,2838,1779,1851,572,2551,649,1505,1636,1851,3021,1557,389,1618,1678,2354,2324,1692,1381,1842,2410,1503,1461,1799,1577,445,1842,2407,1781,2708,2327,2478,1667,1708
702,529,521,550,488,699,705,705,553,403,450,677,153,550,245,724,550,582,582,724,553,252,702,573,705,709,705,529,550,657,514,550,523,697,664,706,691,706,529,515,0,676,698,646,553,481,460,705,573,550,697,529,2871,612,245,218,702,512,665,661,538,573,702,689,699,2816,504,416,538,550,528,669,702,705,514,621,702,533,582,623,699,582,553,669,699,523,535,492,530,529,490,615,697,696,693,3225,702,705,550,667,3200,405,623,582,521,545,512,705,380,655,702,705,553,512,518,483,505,128,705,705,698,628,553,544,655,697,702,553,696,553,521,577,549,707,480,669,706,1736,553,1547,611,606,706,536,386,140,518,696,559,440,702,559,697,553,608,705,518,545,366,697,522,582,597,491,553,702,702
1997,1760,1681,1670,1722,2046,2019,1883,1597,1568,1487,1860,236,1609,294,1835,1759,1966,1872,1835,1801,301,1802,1833,1935,2022,1965,1760,1653,1719,1637,1864,1697,2988,1747,1882,1782,2344,1760,1546,676,0,3292,1756,1862,1829,1808,2014,1694,1742,1993,1748,573,1715,294,198,1831,1805,1854,1771,1675,1694,1740,1881,1832,677,1710,367,1723,1633,1648,2020,2051,2046,1622,1628,1969,1793,1940,1825,1844,1956,1784,1978,2082,1416,1647,2681,569,1683,1686,2139,3100,1850,1875,718,1884,2007,1742,1863,718,1499,1709,1956,3091,1734,1558,1962,1503,1843,1884,2005,1862,1805,1653,1546,1763,220,1865,1963,3270,1747,1862,1712,1770,3138,1828,1862,2008,1809,3046,1916,1741,2065,1615,1964,2980,640,1862,558,1979,2841,2997,1704,1784,235,1653,1916,1734,1647,1896,1799,2971,1798,1701,2070,2990,1731,558,2968,1753,1842,1793,1657,1832,1838,1884
2130,1952,1713,1863,1915,2179,2155,2016,1790,1759,1680,1992,366,1802,294,1968,1952,2157,2004,1968,1994,301,1925,1966,2071,2155,2098,1952,1846,1852,1830,2057,1889,3194,1879,2014,1914,2538,1952,1739,698,3292,0,1888,2055,1944,1923,2208,1886,1935,2187,1940,595,1757,294,198,1963,1998,1986,1903,1808,1877,1872,2014,1964,699,1903,367,1792,1826,1841,2153,2188,2180,1814,1760,2102,1976,2055,1958,1976,2071,1976,2111,2219,1607,1780,2887,600,1875,1798,2332,3302,1983,2007,740,2016,2192,1935,1999,740,1690,1842,2071,3297,1927,1750,2095,1573,1975,2016,2199,2055,1998,1786,1739,1895,343,1998,2096,3476,1879,2055,1827,1902,3344,1960,2055,2145,2002,3252,2107,1934,2199,1808,2097,3186,662,2055,580,2116,3047,3203,1897,1975,358,1786,2049,1924,1839,2028,1914,3177,1991,1833,2185,3196,1864,580,3174,1945,1975,1984,1850,2001,1970,2016
2591,1839,1390,1660,1628,2099,2274,2621,1587,1270,1452,2767,361,1596,237,2153,1679,1875,2076,2150,1667,244,2607,2548,2184,2474,2731,1839,1664,2145,1703,1679,1815,1913,2999,2749,2995,2192,1839,1579,646,1756,1888,0,1768,1859,1838,2114,1715,1726,2035,1819,542,2731,237,154,3054,1711,2584,2610,1816,1705,2948,2703,2731,646,1677,317,1687,1617,1588,2395,2097,2429,1660,2862,2708,1673,1979,2590,3084,1987,1863,2467,2112,1499,2094,1436,558,1776,2298,2069,1883,2690,2780,687,2789,2098,1714,2086,687,1287,2472,1987,1710,1683,1639,2859,1474,2580,2789,2098,1768,1711,1796,1518,2271,296,2618,2673,1888,2622,1768,2216,3017,1861,3006,1768,2096,1650,1710,1834,1715,2323,1600,2456,1922,588,1768,497,2019,1723,1922,1688,1449,310,1772,2677,1659,1747,3091,1826,1913,1649,2568,2115,1674,2456,432,1913,1737,2607,1751,1547,1758,3090,2775
2097,3204,2572,2714,3281,1975,1890,1969,3090,2063,2544,1949,392,2725,350,2143,2786,2473,1735,2143,3313,366,1867,2043,1746,2081,1980,3223,2766,2128,2709,2947,3163,2219,1896,1969,1878,2589,3190,2556,553,1862,2055,1768,0,1643,1642,1827,2472,2844,1772,3183,450,1688,350,263,1918,3376,1870,1825,1695,2459,1815,1910,1911,552,2650,347,1514,2627,3150,2143,1983,2155,2826,1946,2046,3288,1746,1842,1937,1768,3282,2181,1988,2472,1733,1971,654,3110,1807,2643,2084,1885,1971,593,1971,1815,2813,1686,593,2056,1741,1768,2239,3265,3002,2057,2755,1870,1971,1811,3355,3376,1753,2508,2406,404,1939,1973,2055,1804,3354,1755,1933,2062,1982,3421,1915,3172,2196,2423,2775,2189,2722,2170,2228,654,3371,652,1879,1900,2228,2740,1926,409,1753,1940,3201,3052,1979,1612,2219,3253,1763,1702,2163,1839,556,2219,3165,2043,2581,3163,3345,1954,1971
2022,1619,1422,1553,1503,2211,2435,1950,1428,1348,1369,2018,352,1479,245,1668,1602,1809,3007,1668,1582,261,1935,2118,2281,1917,2021,1619,1536,1697,1519,1602,1595,1857,1911,2008,1911,1910,1619,1412,481,1829,1944,1859,1643,0,3372,2577,1611,1609,2468,1612,452,1736,245,212,1938,1586,2050,1912,1619,1602,1842,1950,1964,452,1582,313,2851,1529,1471,1958,2220,2073,1475,1830,2053,1506,3008,1904,1954,3196,1643,2000,2251,1316,2176,1592,518,1558,2070,1942,1947,1990,2017,493,2026,2538,1607,2225,493,1396,1788,3204,1954,1558,1419,2028,1454,2041,2025,2544,1643,1586,1599,1393,1862,338,1920,2013,1944,1962,1611,2316,1944,1973,1936,1643,2180,1590,1954,1768,1608,1980,1483,1998,1866,560,1643,535,2191,1707,1866,1544,1570,353,1599,1971,1591,1550,1989,2919,1857,1579,1884,3056,1918,1901,501,1857,1590,2128,1612,1415,1643,1974,2026
2001,1618,1421,1552,1502,2190,2414,1929,1427,1348,1368,1997,352,1478,245,1647,1601,1808,2986,1647,1581,261,1914,2097,2260,1896,2000,1618,1535,1676,1518,1601,1594,1836,1890,1987,1890,1889,1618,1411,460,1808,1923,1838,1642,3372,0,2556,1590,1608,2447,1611,431,1715,245,212,1917,1585,2029,1891,1598,1581,1821,1942,1943,431,1581,313,2830,1528,1471,1937,2199,2052,1474,1809,2032,1505,2987,1883,1933,3175,1642,1979,2230,1315,2155,1591,518,1557,2049,1921,1926,1969,1996,472,2005,2517,1606,2204,472,1396,1767,3183,1953,1557,1418,2007,1453,2020,2004,2523,1642,1585,1598,1392,1861,338,1899,1992,1923,1941,1610,2295,1923,1952,1915,1642,2159,1589,1953,1767,1608,1959,1482,1977,1845,539,1642,514,2170,1686,1845,1543,1570,353,1598,1950,1590,1549,1968,2898,1836,1578,1863,3035,1917,1880,501,1836,1589,2107,1591,1414,1642,1953,2005
2334,1803,1513,1782,1687,2550,2851,2236,1609,1468,1554,2252,407,1708,321,1998,1804,2050,2664,1998,1736,328,2222,2183,2735,2229,2316,1803,1765,1986,1745,1804,1779,2267,2139,2311,2156,2281,1803,1638,705,2014,2208,2114,1827,2577,2556,0,1795,1838,3291,1796,601,2017,321,225,2194,1770,2284,2168,1753,1786,2098,2242,2251,705,1789,386,2444,1758,1651,2225,2559,2417,1659,2020,2308,1749,2548,2156,2210,2736,1827,2272,2590,1542,2185,1781,634,1742,2017,2167,2211,2285,2304,746,2313,3347,1836,2641,746,1498,2040,2744,2030,1742,1603,2315,1440,2276,2312,3341,1827,1770,1733,1635,1929,363,2206,2308,2208,2146,1827,2159,2162,2237,2220,1827,2514,1774,2030,2009,1837,2297,1667,2259,2276,648,1827,558,2507,2025,2276,1800,1690,377,1733,2265,1775,1711,2245,2472,2267,1763,2140,2839,1994,2062,505,2267,1796,2192,1855,1599,1804,2230,2313
2039,2487,2259,2581,2332,1760,1813,1782,2253,1804,2417,1850,405,2589,308,2171,2691,2171,1633,2171,2366,324,1776,1821,1686,2063,1793,2487,2640,2077,2588,2572,2435,1998,1799,1867,1784,2461,2487,2511,573,1694,1886,1715,2472,1611,1590,1795,0,2712,1762,2469,488,1594,308,263,1824,2415,1800,1726,1743,3384,1727,1720,1813,532,2404,358,1493,2546,2258,1826,1767,2098,2229,1824,1988,2351,1652,1655,1865,1678,2466,1953,1777,2289,1556,1595,532,2411,1587,2623,1898,1784,1880,573,1872,1783,2689,1595,573,1751,1561,1678,1873,2344,2285,1870,2103,1808,1872,1769,2482,2415,1713,2425,2011,386,1782,1786,1886,1732,2440,1646,1816,1876,1888,2472,1702,2220,1828,2121,2680,2342,2585,1942,1998,720,2472,634,1695,1647,1998,2653,1693,397,1713,1761,2349,2395,1885,1522,1998,2332,1701,1627,1775,1697,543,1998,2453,1821,2842,2247,2399,1860,1872
2158,2694,2827,3205,2714,1781,1832,1911,2531,1897,3043,1891,392,3209,368,2215,3302,2248,1699,2215,2738,384,1822,1985,1692,2115,1922,2684,3224,2200,3200,3175,2642,2038,1813,1911,1795,2391,2680,3066,550,1742,1935,1726,2844,1609,1608,1838,2712,0,1805,2687,447,1605,368,281,1835,2777,1857,1767,1748,2731,1738,1852,1854,549,2976,339,1480,3135,2578,1947,1788,2095,2436,1863,2107,2721,1712,1784,1872,1734,2764,1985,1794,2855,1715,1851,621,2617,1751,2445,1938,1821,1913,590,1913,1826,3221,1632,590,1851,1690,1734,2119,2726,2492,1999,2248,1857,1913,1812,2811,2777,1806,3094,2235,389,1911,1915,1935,1746,2799,1693,1850,1916,1899,2854,1721,2591,2074,2198,3234,2250,3220,1974,2047,654,2808,652,1706,1777,2047,3321,1741,400,1806,1882,2642,2581,1896,1578,2038,2698,1708,1658,2038,1781,538,2038,2664,1985,2918,2619,2770,1871,1912
